fre(GHz)	A1(dB)
2.0	-8.527633402400358
2.0040080160320644	-8.541771728296307
2.0080160320641283	-8.555902818829393
2.012024048096192	-8.570026242638054
2.0160320641282565	-8.584141557483457
2.020040080160321	-8.59824831011365
2.024048096192385	-8.612346036126997
2.0280561122244487	-8.62643425983479
2.032064128256513	-8.640512494123127
2.036072144288577	-8.65458024031413
2.0400801603206413	-8.668636988026497
2.0440881763527057	-8.682682215035447
2.0480961923847696	-8.69671538713215
2.0521042084168335	-8.71073595798263
2.056112224448898	-8.72474336898623
2.060120240480962	-8.738737049133718
2.064128256513026	-8.752716414865029
2.06813627254509	-8.76668086992675
2.0721442885771544	-8.780629805229452
2.0761523046092183	-8.79456259870482
2.0801603206412826	-8.808478615162759
2.0841683366733466	-8.822377206148502
2.088176352705411	-8.836257709799826
2.092184368737475	-8.850119450704382
2.096192384769539	-8.863961739757336
2.1002004008016035	-8.877783874019288
2.1042084168336674	-8.891585136574632
2.1082164328657313	-8.905364796390465
2.1122244488977957	-8.919122108176007
2.1162324649298596	-8.93285631224286
2.120240480961924	-8.946566634365972
2.124248496993988	-8.960252285645531
2.128256513026052	-8.973912462369938
2.132264529058116	-8.987546345879828
2.1362725450901805	-9.001153102433445
2.1402805611222444	-9.014731883073297
2.1442885771543088	-9.028281823494353
2.1482965931863727	-9.041802043913847
2.1523046092184366	-9.055291648942896
2.156312625250501	-9.068749727459887
2.1603206412825653	-9.08217535248603
2.164328657314629	-9.095567581062978
2.1683366733466936	-9.10892545413289
2.1723446893787575	-9.122247996420818
2.1763527054108214	-9.135534216319861
2.1803607214428857	-9.148783105779062
2.1843687374749496	-9.161993640194202
2.188376753507014	-9.175164778301863
2.1923847695390783	-9.188295462076653
2.1963927855711423	-9.201384616631973
2.2004008016032066	-9.214431150124433
2.2044088176352705	-9.227433953662143
2.2084168336673344	-9.240391901216977
2.212424849699399	-9.253303849541139
2.216432865731463	-9.266168638088077
2.220440881763527	-9.278985088938146
2.2244488977955914	-9.291752006728991
2.2284569138276553	-9.304468178591048
2.2324649298597192	-9.317132374088303
2.2364729458917836	-9.329743345164577
2.2404809619238475	-9.342299826095372
2.244488977955912	-9.354800533445887
2.248496993987976	-9.367244166035002
2.25250501002004	-9.379629404905742
2.256513026052104	-9.391954913302454
2.2605210420841684	-9.404219336654716
2.2645290581162323	-9.416421302568471
2.268537074148296	-9.42855942082459
2.272545090180361	-9.440632283384904
2.276553106212425	-9.452638464406286
2.2805611222444893	-9.464576520262742
2.284569138276553	-9.476444989576006
2.288577154308617	-9.488242393254716
2.2925851703406814	-9.499967234542552
2.2965931863727453	-9.511617999075554
2.3006012024048093	-9.52319315494887
2.304609218436874	-9.534691152793354
2.308617234468938	-9.546110425861889
2.312625250501002	-9.557449390126337
2.3166332665330662	-9.568706444384677
2.32064128256513	-9.579879970379162
2.324649298597194	-9.59096833292551
2.328657314629259	-9.601969880053357
2.3326653306613228	-9.612882943158455
2.3366733466933867	-9.623705837166598
2.340681362725451	-9.634436860709851
2.344689378757515	-9.645074296315055
2.3486973947895793	-9.655616410605074
2.352705410821643	-9.666061454512956
2.356713426853707	-9.676407663509263
2.360721442885772	-9.686653257842849
2.364729458917836	-9.696796442795252
2.3687374749498997	-9.706835408949136
2.372745490981964	-9.716768332470712
2.376753507014028	-9.726593375406663
2.380761523046092	-9.73630868599563
2.3847695390781563	-9.745912398994488
2.3887775551102206	-9.755402636019687
2.3927855711422845	-9.764777505903751
2.396793587174349	-9.774035105067277
2.400801603206413	-9.783173517906382
2.4048096192384767	-9.792190817196055
2.408817635270541	-9.801085064509302
2.412825651302605	-9.809854310652392
2.4168336673346693	-9.818496596116331
2.4208416833667337	-9.827009951544582
2.4248496993987976	-9.835392398217198
2.428857715430862	-9.843641948551552
2.432865731462926	-9.851756606619565
2.4368737474949898	-9.859734368681586
2.440881763527054	-9.86757322373705
2.4448897795591185	-9.875271154091731
2.4488977955911824	-9.882826135941832
2.4529058116232467	-9.890236139974736
2.4569138276553106	-9.897499131986475
2.4609218436873745	-9.904613073515822
2.464929859719439	-9.911575922495043
2.468937875751503	-9.918385633916987
2.472945891783567	-9.92504016051873
2.4769539078156315	-9.93153745348137
2.4809619238476954	-9.937875463145883
2.4849699398797593	-9.944052139745045
2.4889779559118237	-9.95006543415088
2.4929859719438876	-9.955913298637741
2.4969939879759515	-9.961593687660585
2.5010020040080163	-9.967104558648147
2.50501002004008	-9.972443872810869
2.5090180360721446	-9.977609595963147
2.5130260521042085	-9.982599699359444
2.5170340681362724	-9.98741216054421
2.5210420841683367	-9.992044964214783
2.5250501002004007	-9.996496103097146
2.5290581162324646	-10.000763578834043
2.5330661322645294	-10.00484540288479
2.5370741482965933	-10.008739597436442
2.541082164328657	-10.012444196325712
2.5450901803607215	-10.01595724597109
2.5490981963927855	-10.0192768063145
2.5531062124248494	-10.022400951771981
2.557114228456914	-10.02532777219269
2.561122244488978	-10.028055373825477
2.565130260521042	-10.030581880292527
2.5691382765531063	-10.032905433569098
2.5731462925851702	-10.035024194968843
2.5771543086172346	-10.036936346133736
2.5811623246492985	-10.038640090027979
2.5851703406813624	-10.04013365193493
2.589178356713427	-10.041415280456338
2.593186372745491	-10.042483248512857
2.597194388777555	-10.043335854345203
2.6012024048096194	-10.043971422514788
2.6052104208416833	-10.044388304903059
2.609218436873747	-10.044584881708651
2.6132264529058116	-10.044559562441233
2.617234468937876	-10.044310786911275
2.62124248496994	-10.043837026214604
2.625250501002004	-10.043136783710892
2.629258517034068	-10.042208595994913
