wp(GHz)	ve(GHz)	A1(dB)
0.1	8.0	-0.005984642798324346
0.10598119623924784	8.0	-0.006721962138074551
0.1119623924784957	8.0	-0.007502102131703389
0.11794358871774355	8.0	-0.008325062897430714
0.1239247849569914	8.0	-0.009190844559427536
0.12990598119623925	8.0	-0.01009944724774043
0.1358871774354871	8.0	-0.011050871098190205
0.14186837367473495	8.0	-0.012045116252294222
0.14784956991398282	8.0	-0.013082182857144267
0.15383076615323063	8.0	-0.014162071065328944
0.1598119623924785	8.0	-0.015284781034803569
0.16579315863172636	8.0	-0.016450312928796038
0.17177435487097417	8.0	-0.01765866691567672
0.17775555111022204	8.0	-0.01890984316884469
0.1837367473494699	8.0	-0.02020384186660722
0.18971794358871774	8.0	-0.02154066319203258
0.19569913982796558	8.0	-0.0229203073328346
0.20168033606721344	8.0	-0.02434277448122442
0.2076615323064613	8.0	-0.02580806483376748
0.21364272854570912	8.0	-0.027316178591240935
0.219623924784957	8.0	-0.028867115958473605
0.22560512102420485	8.0	-0.030460877144198734
0.2315863172634527	8.0	-0.03209746236088175
0.23756751350270053	8.0	-0.03377687182456824
0.2435487097419484	8.0	-0.03549910575470533
0.24952990598119623	8.0	-0.037264164373966846
0.2555111022204441	8.0	-0.03907204790808036
0.26149229845969196	8.0	-0.04092275658563836
0.2674734946989398	8.0	-0.042816290637911966
0.27345469093818764	8.0	-0.04475265029866651
0.27943588717743545	8.0	-0.046731835803949365
0.2854170834166833	8.0	-0.04875384739190411
0.2913982796559312	8.0	-0.050818685302555816
0.29737947589517905	8.0	-0.05292634977760935
0.3033606721344269	8.0	-0.05507684106022133
0.3093418683736748	8.0	-0.057270159394800665
0.3153230646129226	8.0	-0.059506305026765446
0.3213042608521704	8.0	-0.061785278202331095
0.32728545709141826	8.0	-0.06410707916826439
0.33326665333066613	8.0	-0.06647170817166247
0.339247849569914	8.0	-0.0688791654597011
0.34522904580916186	8.0	-0.07132945127938747
0.3512102420484097	8.0	-0.07382256587731968
0.35719143828765754	8.0	-0.07635850949942155
0.36317263452690535	8.0	-0.0789372823906975
0.3691538307661532	8.0	-0.08155888479495257
0.3751350270054011	8.0	-0.0842233169545354
0.38111622324464894	8.0	-0.08693057911006676
0.3870974194838968	8.0	-0.08968067150015846
0.3930786157231447	8.0	-0.0924735943611317
0.39905981196239243	8.0	-0.0953093479267337
0.4050410082016403	8.0	-0.09818793242784787
0.41102220444088816	8.0	-0.10110934809219985
0.417003400680136	8.0	-0.10407359514405275
0.4229845969193839	8.0	-0.10708067380391371
0.42896579315863176	8.0	-0.11013058428821708
0.4349469893978796	8.0	-0.11322332680901437
0.4409281856371274	8.0	-0.11635890157366105
0.44690938187637524	8.0	-0.11953730878448789
0.4528905781156231	8.0	-0.1227585486384872
0.458871774354871	8.0	-0.12602262132696224
0.46485297059411884	8.0	-0.12932952703521755
0.4708341668333667	8.0	-0.13267926594220142
0.4768153630726146	8.0	-0.1360718382201641
0.48279655931186233	8.0	-0.1395072440343218
0.4887777555511102	8.0	-0.142985483542485
0.49475895179035806	8.0	-0.14650655689471698
0.500740148029606	8.0	-0.15007046423296824
0.5067213442688537	8.0	-0.1536772056907027
0.5127025405081016	8.0	-0.1573267813925363
0.5186837367473495	8.0	-0.1610191914538568
0.5246649329865973	8.0	-0.16475443598044642
0.5306461292258452	8.0	-0.16853251506809053
0.5366273254650931	8.0	-0.17235342880220386
0.5426085217043408	8.0	-0.1762171772574181
0.5485897179435887	8.0	-0.18012376049720089
0.5545709141828365	8.0	-0.18407317857344374
0.5605521104220844	8.0	-0.18806543152605754
0.5665333066613323	8.0	-0.19210051938256112
0.5725145029005801	8.0	-0.19617844215766275
0.578495699139828	8.0	-0.2002991998528494
0.5844768953790758	8.0	-0.2044627924559464
0.5904580916183236	8.0	-0.20866921994069923
0.5964392878575715	8.0	-0.2129184822663377
0.6024204840968194	8.0	-0.2172105793771355
0.6084016803360672	8.0	-0.221545511201959
0.6143828765753151	8.0	-0.22592327765383807
0.620364072814563	8.0	-0.23034387862949843
0.6263452690538107	8.0	-0.23480731400890673
0.6323264652930586	8.0	-0.2393135836548153
0.6383076615323064	8.0	-0.24386268741228756
0.6442888577715543	8.0	-0.2484546251082344
0.6502700540108022	8.0	-0.253089396550939
0.65625125025005	8.0	-0.2577670015295641
0.6622324464892979	8.0	-0.2624874398136885
0.6682136427285457	8.0	-0.2672507111528011
0.6741948389677935	8.0	-0.2720568152758097
0.6801760352070414	8.0	-0.27690575189055
0.6861572314462893	8.0	-0.28179752068327535
0.6921384276855371	8.0	-0.28673212131815234
0.6981196239247849	8.0	-0.29170955343674576
0.7041008201640329	8.0	-0.296729816657504
0.7100820164032806	8.0	-0.30179291057524155
0.7160632126425285	8.0	-0.30689883476059604
0.7220444088817763	8.0	-0.3120475887595186
0.7280256051210242	8.0	-0.31723917209272423
0.7340068013602721	8.0	-0.32247358425515493
0.7399879975995198	8.0	-0.3277508247154325
0.7459691938387678	8.0	-0.3330708929153193
0.7519503900780156	8.0	-0.33843378826914783
0.7579315863172635	8.0	-0.34383951016326664
0.7639127825565113	8.0	-0.34928805795548556
0.7698939787957592	8.0	-0.35477943097449205
0.775875175035007	8.0	-0.36031362851929116
0.7818563712742548	8.0	-0.3658906498586173
0.7878375675135028	8.0	-0.371510494230354
0.7938187637527505	8.0	-0.3771731608409517
0.7997999599919985	8.0	-0.3828786488648238
0.8057811562312462	8.0	-0.3886269574437561
0.8117623524704941	8.0	-0.3944180856863032
0.817743548709742	8.0	-0.4002520326671869
0.8237247449489897	8.0	-0.4061287974266712
0.8297059411882377	8.0	-0.41204837896995755
0.8356871374274855	8.0	-0.4180107762665519
0.8416683336667334	8.0	-0.4240159882496496
0.8476495299059812	8.0	-0.4300640138154946
0.8536307261452291	8.0	-0.4361548518227524
0.8596119223844769	8.0	-0.4422885010918503
0.8655931186237247	8.0	-0.4484649604043579
0.8715743148629727	8.0	-0.45468422850230905
0.8775555111022204	8.0	-0.46094630408756376
0.8835367073414684	8.0	-0.4672511858211359
0.8895179035807161	8.0	-0.4735988723225342
0.895499099819964	8.0	-0.4799893621690909
0.9014802960592119	8.0	-0.48642265389527345
0.9074614922984596	8.0	-0.49289874599202044
0.9134426885377076	8.0	-0.49941763690604485
0.9194238847769554	8.0	-0.5059793250391378
0.9254050810162033	8.0	-0.5125838087474875
0.9313862772554511	8.0	-0.519231086340963
0.9373674734946988	8.0	-0.5259211560824125
0.9433486697339468	8.0	-0.53265401618695
0.9493298659731946	8.0	-0.5394296648212461
0.9553110622124426	8.0	-0.5462481001027892
0.9612922584516903	8.0	-0.5531093200991739
0.9672734546909383	8.0	-0.5600133228273616
0.973254650930186	8.0	-0.5669601062529381
0.9792358471694338	8.0	-0.5739496682893788
0.9852170434086818	8.0	-0.5809820067972935
0.9911982396479295	8.0	-0.5880571195836755
0.9971794358871775	8.0	-0.5951750044011432
1.0031606321264253	8.0	-0.6023356589471689
1.0091418283656732	8.0	-0.6095390808633262
1.015123024604921	8.0	-0.6167852677344838
1.0211042208441687	8.0	-0.6240742170880633
1.0270854170834167	8.0	-0.6314059263932171
1.0330666133226645	8.0	-0.6387803930600638
1.0390478095619124	8.0	-0.6461976144388759
1.0450290058011602	8.0	-0.653657587819279
1.0510102020404082	8.0	-0.6611603104294507
1.056991398279656	8.0	-0.668705779435304
1.0629725945189037	8.0	-0.6762939919396584
1.0689537907581517	8.0	-0.6839249449814315
1.0749349869973996	8.0	-0.6915986355347972
1.0809161832366474	8.0	-0.6993150605083558
1.0868973794758952	8.0	-0.7070742167442803
1.092878575715143	8.0	-0.7148761010174896
1.0988597719543907	8.0	-0.7227207100347781
1.1048409681936389	8.0	-0.730608040433961
1.1108221644328866	8.0	-0.738538088783014
1.1168033606721344	8.0	-0.7465108515791967
1.1227845569113821	8.0	-0.7545263252481853
1.1287657531506303	8.0	-0.7625845061431777
1.134746949389878	8.0	-0.7706853905440172
1.1407281456291258	8.0	-0.7788289746562866
1.1467093418683736	8.0	-0.7870152546104263
1.1526905381076213	8.0	-0.7952442264608063
1.1586717343468695	8.0	-0.8035158861848318
1.1646529305861173	8.0	-0.8118302296820118
1.170634126825365	8.0	-0.8201872527730497
1.1766153230646128	8.0	-0.828586951198895
1.1825965193038606	8.0	-0.837029320619828
1.1885777155431088	8.0	-0.8455143566145001
1.1945589117823565	8.0	-0.8540420546789896
1.2005401080216043	8.0	-0.8626124102258499
1.206521304260852	8.0	-0.8712254185831447
1.2125025005001002	8.0	-0.8798810749934869
1.218483696739348	8.0	-0.8885793746130517
1.2244648929785957	8.0	-0.8973203125106116
1.2304460892178435	8.0	-0.9061038836665363
1.2364272854570912	8.0	-0.9149300829718087
1.2424084816963394	8.0	-0.9237989052270261
1.2483896779355872	8.0	-0.9327103451413753
1.254370874174835	8.0	-0.9416643973316497
1.2603520704140827	8.0	-0.950661056321199
1.2663332666533305	8.0	-0.9597003165389337
1.2723144628925787	8.0	-0.9687821723182645
1.2782956591318264	8.0	-0.9779066178960778
1.2842768553710742	8.0	-0.9870736474116891
1.290258051610322	8.0	-0.9962832549057805
1.29623924784957	8.02	-1.0055354566189298
1.3022204440888179	8.02	-1.0148302750360512
1.3082016403280656	8.02	-1.0241676554336747
1.3141828365673134	8.02	-1.0335475914984718
