ve(GHz)	wp(GHz)	A1(dB)
0.01	14.719999999999999	-1.806100100437499
0.010027674772570733	14.719999999999999	-1.8111091218142494
0.010055426134445147	14.719999999999999	-1.8161320919553932
0.010083254297582384	14.719999999999999	-1.8211690501478102
0.010111159474528229	14.719999999999999	-1.8262200357921086
0.010139141878416625	14.719999999999999	-1.831285088403224
0.010167201722971381	14.719999999999999	-1.8363642476107358
0.01019533922250778	14.719999999999999	-1.841457553159282
0.010223554591934197	14.719999999999999	-1.8465650449085818
0.01025184804675382	14.719999999999999	-1.8516867628342502
0.010280219803066183	14.719999999999999	-1.8568227470279128
0.01030867007756888	14.719999999999999	-1.8619730376974994
0.010337199087559226	14.719999999999999	-1.8671376751677025
0.010365807050935861	14.719999999999999	-1.8723166998804315
0.010394494186200535	14.719999999999999	-1.8775101523949913
0.010423260712459624	14.719999999999999	-1.8827180733885132
0.0104521068494259	14.719999999999999	-1.8879405036564023
0.010481032817420187	14.719999999999999	-1.8931774841125806
0.010510038837373012	14.719999999999999	-1.8984290557898187
0.010539125130826398	14.719999999999999	-1.903695259840511
0.01056829191993541	14.719999999999999	-1.9089761375363046
0.010597539427469941	14.719999999999999	-1.9142717302691392
0.0106268678768164	14.719999999999999	-1.9195820795512848
0.01065627749197939	14.719999999999999	-1.924907227015915
0.010685768497583504	14.719999999999999	-1.9302472144172014
0.010715341118874915	14.719999999999999	-1.9356020836309826
0.010744995581723184	14.719999999999999	-1.9409718766548414
0.010774732112622955	14.719999999999999	-1.9463566356088622
0.010804550938695673	14.719999999999999	-1.9517564027356324
0.010834452287691402	14.719999999999999	-1.9571712204008933
0.010864436387990431	14.719999999999999	-1.9626011310937326
0.010894503468605115	14.719999999999999	-1.9680461774270883
0.010924653759181585	14.719999999999999	-1.9735064021380575
0.010954887490001496	14.719999999999999	-1.9789818480883978
0.01098520489198387	14.719999999999999	-1.9844725582647371
0.011015606196686727	14.719999999999999	-1.989978575779161
0.01104609163630893	14.719999999999999	-1.9954999438694259
0.011076661443691961	14.719999999999999	-2.0010367058993452
0.011107315852321657	14.719999999999999	-2.006588905359437
0.011138055096330085	14.719999999999999	-2.012156585866965
0.011168879410497207	14.719999999999999	-2.017739791166628
0.011199789030252752	14.719999999999999	-2.0233385651307394
0.011230784191677971	14.719999999999999	-2.0289529517597056
0.011261865131507537	14.719999999999999	-2.0345829951826224
0.01129303208713121	14.719999999999999	-2.0402287396571666
0.011324285296595743	14.719999999999999	-2.0458902295705177
0.01135562499860668	14.719999999999999	-2.0515675094396233
0.011387051432530151	14.719999999999999	-2.0572606239112523
0.011418564838394802	14.719999999999999	-2.0629696177629135
0.011450165456893476	14.719999999999999	-2.068694535903011
0.011481853529385154	14.719999999999999	-2.0744354233711255
0.011513629297896772	14.719999999999999	-2.080192325338652
0.01154549300512505	14.719999999999999	-2.08596528710916
0.01157744489443843	14.719999999999999	-2.091754354118693
0.011609485209878808	14.719999999999999	-2.0975595719362294
0.011641614196163476	14.719999999999999	-2.103380986264145
0.011673832098686979	14.719999999999999	-2.1092186429386848
0.01170613916352296	14.719999999999999	-2.115072587930168
0.011738535637426146	14.719999999999999	-2.120942867343532
0.011771021767834065	14.719999999999999	-2.1268295274187836
0.011803597802869058	14.719999999999999	-2.132732614531385
0.011836263991340138	14.719999999999999	-2.1386521751926977
0.011869020582744864	14.719999999999999	-2.144588256050304
0.011901867827271342	14.719999999999999	-2.150540903888582
0.011934805975800008	14.719999999999999	-2.156510165628923
0.011967835279905616	14.719999999999999	-2.1624960883304936
0.012000955991859153	14.719999999999999	-2.168498719190245
0.012034168364629734	14.719999999999999	-2.1745181055435694
0.012067472651886636	14.719999999999999	-2.180554294864991
0.012100869108001087	14.719999999999999	-2.1866073347679214
0.012134357988048298	14.719999999999999	-2.1926772730056645
0.012167939547809406	14.719999999999999	-2.198764157471886
0.012201614043773387	14.719999999999999	-2.2048680362003776
0.012235381733139112	14.719999999999999	-2.2109889573663617
0.012269242873817185	14.719999999999999	-2.2171269692863507
0.01230319772443198	14.719999999999999	-2.2232821204186584
0.01233724654432362	14.719999999999999	-2.2294544593641827
0.012371389593549916	14.719999999999999	-2.235644034866378
0.012405627132888458	14.719999999999999	-2.2418508958120524
0.012439959423838458	14.719999999999999	-2.248075091231558
0.012474386728622843	14.719999999999999	-2.25431667029953
0.012508909310190242	14.719999999999999	-2.2605756823350407
0.01254352743221696	14.719999999999999	-2.2668521768021277
0.012578241359109094	14.719999999999999	-2.273146203310376
0.012613051356004407	14.719999999999999	-2.2794578116153663
0.012647957688774443	14.719999999999999	-2.2857870516187644
0.012682960624026551	14.719999999999999	-2.2921339733692694
0.012718060429105874	14.719999999999999	-2.2984986270628154
0.012753257372097508	14.719999999999999	-2.3048810630429735
0.012788551721828387	14.719999999999999	-2.3112813318015686
0.012823943747869453	14.719999999999999	-2.317699483979
0.012859433720537666	14.719999999999999	-2.324135570364942
0.012895021910898068	14.719999999999999	-2.3305896418984
0.01293070859076594	14.719999999999999	-2.3370617496683805
0.012966494032708727	14.719999999999999	-2.343551944914698
0.013002378510048223	14.719999999999999	-2.3500602790278475
0.01303836229686264	14.719999999999999	-2.356586803549731
0.01307444566798866	14.719999999999999	-2.3631315701742714
0.013110628899023659	14.719999999999999	-2.3696946307476336
0.013146912266327632	14.719999999999999	-2.3762760372687826
0.013183296047025431	14.719999999999999	-2.38287584189018
0.013219780519008838	14.719999999999999	-2.389494096917848
0.013256365960938666	14.719999999999999	-2.3961308548121667
0.013293052652247003	14.719999999999999	-2.402786168188054
