fre(GHz)	A1(dB)
2.0	-10.744072172710661
2.012024048096192	-10.774358036871183
2.024048096192385	-10.80439458767441
2.036072144288577	-10.834183039855853
2.0480961923847696	-10.86372452002708
2.060120240480962	-10.893020067972806
2.0721442885771544	-10.92207063795386
2.0841683366733466	-10.950877100016918
2.096192384769539	-10.979440241312231
2.1082164328657313	-11.007760767420491
2.120240480961924	-11.035839303689967
2.132264529058116	-11.063676396585088
2.1442885771543088	-11.09127251504768
2.156312625250501	-11.118628051872019
2.1683366733466936	-11.145743325094898
2.1803607214428857	-11.172618579401911
2.1923847695390783	-11.199253987551138
2.2044088176352705	-11.22564965181547
2.216432865731463	-11.251805605444678
2.2284569138276553	-11.277721814148482
2.2404809619238475	-11.303398177601789
2.25250501002004	-11.328834530973202
2.2645290581162323	-11.354030646477995
2.276553106212425	-11.378986234956658
2.288577154308617	-11.403700947480162
2.3006012024048093	-11.428174376982872
2.312625250501002	-11.452406059924439
2.324649298597194	-11.476395477981347
2.3366733466933867	-11.50014205976939
2.3486973947895793	-11.523645182597875
2.360721442885772	-11.546904174256543
2.372745490981964	-11.56991831483593
2.3847695390781563	-11.592686838582239
2.396793587174349	-11.615208935787173
2.408817635270541	-11.637483754713768
2.4208416833667337	-11.659510403558595
2.432865731462926	-11.681287952451108
2.4448897795591185	-11.702815435490626
2.4569138276553106	-11.72409185282136
2.468937875751503	-11.745116172745897
2.4809619238476954	-11.765887333877512
2.4929859719438876	-11.786404247331458
2.50501002004008	-11.806665798955397
2.5170340681362724	-11.826670851599125
2.5290581162324646	-11.846418247423436
2.541082164328657	-11.86590681024811
2.5531062124248494	-11.885135347938746
2.565130260521042	-11.9041026548322
2.5771543086172346	-11.922807514200093
2.589178356713427	-11.941248700750073
2.6012024048096194	-11.959424983163927
2.6132264529058116	-11.977335126672093
2.625250501002004	-11.99497789566353
2.6372745490981964	-12.012352056330084
2.649298597194389	-12.029456379344214
2.661322645290581	-12.046289642568935
2.6733466933867738	-12.06285063379865
2.685370741482966	-12.079138153529453
2.697394789579158	-12.095151017757281
2.7094188376753507	-12.110888060802417
2.721442885771543	-12.126348138158349
2.7334669338677355	-12.14153012936322
2.7454909819639277	-12.156432940891783
2.75751503006012	-12.17105550906576
2.7695390781563125	-12.185396802980266
2.7815631262525047	-12.199455827444027
2.7935871743486973	-12.21323162593081
2.8056112224448895	-12.226723283539531
2.8176352705410825	-12.239929929960304
2.8296593186372747	-12.25285074244367
2.841683366733467	-12.265484948770029
2.8537074148296595	-12.277831830216353
2.8657314629258517	-12.289890724517063
2.8777555110220443	-12.301661028815872
2.8897795591182365	-12.3131422026054
2.901803607214429	-12.324333770651236
2.9138276553106213	-12.335235325896946
2.9258517034068134	-12.345846532346789
2.937875751503006	-12.356167127922454
2.9498997995991982	-12.366196927290378
2.961923847695391	-12.375935824656061
2.973947895791583	-12.385383796521728
2.985971943887775	-12.39454090440379
2.997995991983968	-12.403407297506401
3.01002004008016	-12.411983215347526
3.0220440881763526	-12.420268990333865
3.034068136272545	-12.428265050281084
3.046092184368738	-12.435971920875675
3.05811623246493	-12.443390228075026
3.070140280561122	-12.450520700442098
3.082164328657315	-12.457364171411365
3.094188376753507	-12.463921581482577
3.1062124248496996	-12.470193980339095
3.118236472945892	-12.476182528887591
3.1302605210420844	-12.48188850121597
3.1422845691382766	-12.487313286466593
3.1543086172344688	-12.492458390621781
3.1663326653306614	-12.497325438198988
3.1783567134268536	-12.501916173852871
3.190380761523046	-12.506232463881894
3.2024048096192383	-12.51027629763703
3.2144288577154305	-12.514049788830402
3.226452905811623	-12.517555176741888
3.2384769539078153	-12.520794827321778
3.250501002004008	-12.523771234187848
3.2625250501002	-12.526487019515349
3.274549098196393	-12.52894493481862
3.2865731462925853	-12.531147861623193
3.2985971943887775	-12.533098812027507
3.31062124248497	-12.534800929153494
3.3226452905811623	-12.536257487485504
3.334669338677355	-12.537471893097367
3.346693386773547	-12.538447683767346
3.3587174348697397	-12.53918852898119
3.370741482965932	-12.539698229823548
3.382765531062124	-12.539980718758324
3.3947895791583167	-12.540040059298594
3.406813627254509	-12.539880445567151
3.4188376753507015	-12.539506201748674
3.4308617234468937	-12.538921781434887
3.442885771543086	-12.538131766864355
3.4549098196392785	-12.53714086805837
3.4669338677354706	-12.535953921855095
3.4789579158316633	-12.534575890843826
3.4909819639278554	-12.533011862201773
3.5030060120240485	-12.531267046435675
3.5150300601202407	-12.529346776030872
3.527054108216433	-12.527256504010566
3.5390781563126255	-12.52500180240811
3.5511022044088176	-12.522588360655414
3.5631262525050102	-12.520021983890498
3.5751503006012024	-12.51730859118757
3.587174348697395	-12.514454213712973
3.599198396793587	-12.511464992810403
3.6112224448897794	-12.50834717801914
3.623246492985972	-12.505107125028774
3.635270541082164	-12.501751293574346
3.647294589178357	-12.498286245275532
3.659318637274549	-12.494718641423926
3.671342685370741	-12.491055240722188
3.6833667334669338	-12.487302896979122
3.695390781563126	-12.48346855676461
3.7074148296593186	-12.479559257028466
3.7194388777555107	-12.475582122687252
3.731462925851704	-12.471544364183028
3.743486973947896	-12.467453275018174
3.755511022044088	-12.463316229270262
3.7675350701402808	-12.459140679090986
3.779559118236473	-12.454934152193216
3.7915831663326656	-12.450704249330087
3.8036072144288577	-12.446458641770043
3.8156312625250504	-12.442205068771848
3.8276553106212425	-12.437951335063214
3.8396793587174347	-12.433705308327095
3.8517034068136273	-12.42947491669912
3.8637274549098195	-12.425268146280086
3.875751503006012	-12.421093038666985
3.8877755511022043	-12.41695768850615
3.8997995991983965	-12.412870241072017
3.911823647294589	-12.408838889874925
3.9238476953907813	-12.40487187430121
3.935871743486974	-12.40097747728896
3.947895791583166	-12.397164023042524
3.9599198396793587	-12.393439874788871
3.9719438877755513	-12.389813432578913
3.9839679358717435	-12.386293131136563
3.995991983967936	-12.382887437758566
4.008016032064129	-12.37960485026775
4.020040080160321	-12.376453895022417
4.032064128256513	-12.373443124984544
4.044088176352705	-12.370581117849277
4.056112224448897	-12.367876474238205
4.0681362725450905	-12.365337815958767
4.080160320641283	-12.362973784332233
4.092184368737475	-12.360793038592314
4.104208416833667	-12.358804254356734
4.11623246492986	-12.357016122173857
4.128256513026052	-12.355437346146314
4.140280561122244	-12.354076642633835
4.152304609218437	-12.352942739037001
4.164328657314629	-12.35204437266394
4.176352705410822	-12.351390289681824
4.188376753507014	-12.35098924415487
4.200400801603207	-12.350849997170663
4.212424849699399	-12.350981316056547
4.224448897795591	-12.351391973687686
4.236472945891784	-12.352090747888562
4.248496993987976	-12.353086420929447
4.260521042084169	-12.354387779119545
4.272545090180361	-12.35600361249835
4.284569138276553	-12.357942714626823
4.296593186372745	-12.360213882480027
4.3086172344689375	-12.362825916442677
4.320641282565131	-12.365787620409332
4.332665330661323	-12.36910780199075
4.344689378757515	-12.372795272827988
4.356713426853707	-12.37685884901591
4.368737474949899	-12.381307351637794
4.380761523046092	-12.386149607412605
4.3927855711422845	-12.391394449456708
4.404809619238477	-12.397050718161813
4.416833667334669	-12.403127262190841
4.428857715430861	-12.409632939593616
4.440881763527054	-12.416576619044317
4.452905811623246	-12.423967181202567
4.4649298597194385	-12.431813520200254
4.476953907815631	-12.44012454525616
4.488977955911824	-12.448909182420653
4.501002004008016	-12.45817637645257
4.513026052104208	-12.467935092830864
4.5250501002004	-12.478194319903334
4.537074148296592	-12.488963071175123
4.549098196392786	-12.500250387739625
4.5611222444889785	-12.512065340854734
4.573146292585171	-12.524417034667328
4.585170340681363	-12.537314609089156
4.597194388777555	-12.550767242827432
4.609218436873748	-12.564784156573525
4.62124248496994	-12.579374616353489
4.6332665330661325	-12.59454793704413
4.645290581162325	-12.610313486058764
4.657314629258518	-12.626680687206818
4.66933867735471	-12.643659024731829
4.681362725450902	-12.661258047532513
4.693386773547094	-12.679487373571963
4.705410821643286	-12.698356694480129
4.7174348697394795	-12.717875780355314
4.729458917835672	-12.738054484770391
4.741482965931864	-12.758902749990115
4.753507014028056	-12.780430612406002
4.765531062124248	-12.802648208195784
4.777555110220441	-12.825565779214765
4.789579158316633	-12.84919367912693
4.801603206412826	-12.873542379783995
4.813627254509018	-12.898622477861192
4.82565130260521	-12.924444701758969
4.837675350701403	-12.951019918780535
4.849699398797595	-12.978359142595542
4.861723446893787	-13.006473541000947
4.8737474949899795	-13.035374443990882
4.885771543086172	-13.065073352147682
4.897795591182365	-13.095581945367567
4.909819639278557	-13.126912091934651
4.921843687374749	-13.159075857958316
4.933867735470941	-13.192085517189675
4.945891783567134	-13.225953561233867
4.9579158316633265	-13.26069271017596
4.969939879759519	-13.29631592363944
4.981963927855711	-13.33283641229748
4.993987975951903	-13.370267649858222
5.006012024048097	-13.408623385547093
5.018036072144289	-13.447917657110269
5.030060120240481	-13.488164804365255
5.0420841683366735	-13.529379483325954
5.054108216432866	-13.57157668093183
5.066132264529059	-13.614771730412203
5.078156312625251	-13.658980327319206
5.090180360721443	-13.704218546265052
5.102204408817635	-13.750502858401475
5.114228456913828	-13.797850149682132
5.1262525050100205	-13.846277739951276
5.138276553106213	-13.895803402905058
5.150300601202405	-13.946445386975135
5.162324649298597	-13.998222437187547
5.17434869739479	-14.05115381805384
5.186372745490982	-14.105259337555061
5.198396793587174	-14.160559372284034
5.210420841683367	-14.217074893815651
5.222444889779559	-14.274827496380269
5.234468937875752	-14.33383942592065
5.246492985971944	-14.394133610618777
5.258517034068136	-14.455733692985593
5.270541082164328	-14.518664063613311
5.2825651302605205	-14.582949896697755
5.294589178356714	-14.648617187446467
5.306613226452906	-14.715692791496854
5.318637274549098	-14.78420446647879
5.33066132264529	-14.854180915866369
5.342685370741482	-14.92565183527502
5.354709418837675	-14.998647961372598
5.3667334669338675	-15.073201123587001
5.37875751503006	-15.149344298807158
5.390781563126252	-15.227111669291062
5.402805611222445	-15.306538684011773
5.414829659318637	-15.387662123691754
5.426853707414829	-15.470520169797348
5.4388777555110215	-15.555152477788095
5.450901803607214	-15.641600254941041
5.462925851703408	-15.729906343098133
5.4749498997996	-15.820115306715579
5.486973947895792	-15.912273526626864
5.498997995991984	-16.00642929996926
5.511022044088176	-16.10263294676279
5.523046092184369	-16.200936923676462
5.5350701402805615	-16.301395945565247
5.547094188376754	-16.404067115415234
5.559118236472946	-16.509010063394644
5.571142284569139	-16.616287095773842
5.583166332665331	-16.725963354550228
5.595190380761523	-16.8381069886946
5.6072144288577155	-16.952789338023244
5.619238476953908	-17.070085130798823
5.631262525050101	-17.190072696270654
5.643286573146293	-17.312834193484413
5.655310621242485	-17.438455857823033
5.667334669338677	-17.567028266886275
5.679358717434869	-17.698646627475753
5.6913827655310625	-17.833411085630082
5.703406813627255	-17.971427061847645
5.715430861723447	-18.11280561384773
5.727454909819639	-18.25766382945423
5.739478957915831	-18.40612525243897
5.751503006012024	-18.558320344437583
5.763527054108216	-18.71438698634845
5.775551102204409	-18.874471022941147
5.787575150300601	-19.038726854737003
5.799599198396793	-19.207318081574037
5.811623246492986	-19.380418202623044
5.823647294589178	-19.558211377972803
5.83567134268537	-19.740893257229924
5.8476953907815625	-19.92867188085952
5.859719438877756	-20.121768660186966
5.871743486973948	-20.320419442038194
5.88376753507014	-20.52487566383547
5.895791583166332	-20.735405604482544
5.907815631262524	-20.95229573541203
5.919839679358717	-21.175852174508165
5.93186372745491	-21.40640224295644
5.943887775551103	-21.644296120967148
5.955911823647295	-21.889908592158754
5.967935871743487	-22.14364085729421
5.97995991983968	-22.405922384791914
5.991983967935872	-22.67721274622162
6.004008016032064	-22.95800335730517
6.0160320641282565	-23.248819005167597
6.02805611222445	-23.55021898552151
6.040080160320642	-23.86279759165564
6.052104208416834	-24.18718357976914
6.064128256513026	-24.52403806683218
6.076152304609218	-24.87405007540228
6.088176352705411	-25.237928592582342
6.1002004008016035	-25.61638951178025
6.112224448897796	-26.010135111600164
6.124248496993988	-26.419822707111116
6.13627254509018	-26.846017666778238
6.148296593186373	-27.289123977239342
6.160320641282565	-27.749282801733113
6.1723446893787575	-28.226225911681905
6.18436873747495	-28.719066579787686
6.196392785571142	-29.226006180022473
6.208416833667335	-29.743932317524514
6.220440881763527	-30.26788840723722
6.232464929859719	-30.7904144316106
6.244488977955911	-31.3008096810575
6.256513026052104	-31.784470376365057
6.268537074148297	-32.22261712501573
6.280561122244489	-32.59290701078296
6.292585170340681	-32.87147110590818
6.304609218436873	-33.03657304933712
6.316633266533066	-33.0732089662092
6.328657314629258	-32.9769614619151
6.340681362725451	-32.755237899621726
6.352705410821643	-32.42522229363611
6.364729458917835	-32.009632796826956
6.376753507014028	-31.532237885023314
6.388777555110221	-31.014594808809925
6.400801603206413	-30.47442236708538
6.412825651302605	-29.925271962961432
6.424849699398798	-29.376941691664573
6.436873747494991	-28.836180784307327
6.448897795591183	-28.307416183716878
6.460921843687375	-27.793380582037162
6.472945891783567	-27.295608405448885
6.48496993987976	-26.814807387812294
6.496993987975952	-26.351127906823884
6.509018036072145	-25.904354010570177
6.521042084168337	-25.474036838847198
6.533066132264529	-25.05958669499242
6.545090180360722	-24.66033588752762
6.557114228456914	-24.275581111584906
6.569138276553106	-23.904611604930913
6.5811623246492985	-23.546727464509544
6.593186372745491	-23.201251189728552
6.605210420841684	-22.867534588457712
6.617234468937876	-22.544962530575482
6.629258517034068	-22.232954579792384
6.64128256513026	-21.930965218248822
6.6533066132264524	-21.6384831582199
6.6653306613226455	-21.35503008190655
6.677354709418838	-21.08015904340595
6.68937875751503	-20.8134526924116
6.701402805611222	-20.554521427209895
6.713426853707414	-20.303001548308778
6.725450901803607	-20.05855345883279
6.7374749498997994	-19.820859940346196
6.749498997995992	-19.589624520722484
6.761523046092184	-19.364569942442333
6.773547094188377	-19.14543673414566
6.785571142284569	-18.931981884582388
6.797595190380761	-18.723977615739265
6.809619238476953	-18.52121025046682
6.821643286573146	-18.32347916911056
6.833667334669339	-18.130595849263532
6.845691382765531	-17.942382982662394
6.857715430861724	-17.758673663347817
6.869739478957916	-17.579310641431107
6.881763527054108	-17.40414563710389
6.893787575150301	-17.233038709865333
6.9058116232464934	-17.0658576782922
6.917835671342686	-16.902477586034156
6.929859719438878	-16.742780210061067
6.941883767535071	-16.586653607521434
6.953907815631263	-16.433991697882234
6.965931863727455	-16.284693877313128
6.977955911823647	-16.138664662546084
6.98997995991984	-15.99581336169152
7.002004008016033	-15.856053769718235
7.014028056112225	-15.719303886513426
7.026052104208417	-15.585485655627673
7.038076152304609	-15.454524721981732
7.050100200400801	-15.326350206969257
7.062124248496994	-15.20089449953016
7.074148296593187	-15.078093061897967
7.086172344689379	-14.957884248841246
7.098196392785571	-14.84020913932378
7.110220440881763	-14.725011379603927
7.122244488977956	-14.612237036879495
7.134268537074148	-14.50183446266302
7.1462925851703405	-14.39375416514245
7.158316633266533	-14.287948689847207
7.170340681362725	-14.184372507996754
7.182364729458918	-14.082981911962342
7.19438877755511	-13.98373491731985
7.206412825651302	-13.88659117101536
7.218436873747494	-13.791511865204505
7.2304609218436875	-13.698459656362385
7.24248496993988	-13.607398589293522
7.254509018036072	-13.518294025701094
7.266533066132264	-13.431112577001652
7.278557114228456	-13.34582204109606
7.290581162324649	-13.262391342830224
7.302605210420841	-13.18079047789923
7.3146292585170345	-13.10099045996771
7.326653306613227	-13.022963270795916
7.338677354709419	-12.946681813177186
7.350701402805612	-12.872119866506308
7.362725450901804	-12.799252044811674
7.374749498997996	-12.728053757096177
7.386773547094188	-12.658501169842735
7.3987975951903815	-12.5905711715505
7.410821643286574	-12.524241339176953
7.422845691382766	-12.459489906370054
7.434869739478958	-12.396295733381796
7.44689378757515	-12.334638278562442
7.458917835671343	-12.274497571340852
7.470941883767535	-12.215854186602712
7.482965931863728	-12.15868922038386
7.49498997995992	-12.102984266801599
7.507014028056112	-12.048721396150977
7.519038076152305	-11.995883134098142
7.531062124248497	-11.944452441906455
7.543086172344689	-11.894412697635143
7.5551102204408815	-11.845747678253636
7.567134268537074	-11.798441542617928
7.579158316633267	-11.752478815258499
7.591182364729459	-11.70784437093176
7.603206412825651	-11.66452341988996
7.615230460921843	-11.622501493826583
7.6272545090180355	-11.581764432456364
7.6392785571142285	-11.542298370691807
7.651302605210421	-11.504089726378744
7.663326653306613	-11.467125188556643
7.675350701402805	-11.431391706209793
7.687374749498998	-11.39687647747789
7.69939879759519	-11.363566939295369
7.7114228456913825	-11.331450757430481
7.723446893787575	-11.300515816896192
7.735470941883767	-11.270750212706071
7.74749498997996	-11.242142240949475
7.759519038076152	-11.214680390161316
7.771543086172345	-11.188353332962338
7.783567134268537	-11.163149917947159
7.7955911823647295	-11.139059161797555
7.8076152304609225	-11.116070241599598
7.819639278557115	-11.094172487343645
7.831663326653307	-11.073355374586974
7.843687374749499	-11.053608517259372
7.855711422845691	-11.03492166059231
7.867735470941884	-11.017284674153222
7.8797595190380765	-11.000687544966393
7.891783567134269	-10.9851203707027
7.903807615230461	-10.970573352920663
7.915831663326654	-10.957036790341546
7.927855711422846	-10.944501072141758
7.939879759519038	-10.932956671245911
7.95190380761523	-10.9223941376041
7.963927855711423	-10.912804091437424
7.975951903807616	-10.904177216435746
7.987975951903808	-10.89650425289199
8.0	-10.889775990757368
